iter	RMSE
0	1.705350865
1	1.695254198
2	1.682489092
3	1.673338217
4	1.664163056
5	1.654301913
6	1.642181367
7	1.629999247
8	1.61526859
9	1.604765196
10	1.59673054
11	1.587055336
12	1.579076242
13	1.565787344
14	1.553869289
15	1.538583042
16	1.529898682
17	1.520160924
18	1.510454562
19	1.500465865
20	1.492657355
21	1.484498609
22	1.476346531
23	1.465843363
24	1.458679294
25	1.453381935
26	1.445937383
27	1.439103797
28	1.432130699
29	1.423723184
30	1.413658823
31	1.405807517
32	1.400403331
33	1.395277336
34	1.385257176
35	1.374467363
36	1.365198465
37	1.358235662
38	1.349137762
39	1.338202707
40	1.330572743
41	1.323606867
42	1.316710274
43	1.309616491
44	1.301970243
45	1.290223324
46	1.283696595
47	1.275084189
48	1.26953332
49	1.263792018
50	1.25727633
51	1.251877384
52	1.244290188
53	1.235411955
54	1.227789912
55	1.221326763
56	1.213088748
57	1.206485482
58	1.200318323
59	1.193174633
60	1.187994972
61	1.179936824
62	1.173423114
63	1.168171768
64	1.163620335
65	1.156589011
66	1.15147803
67	1.143531765
68	1.13830947
69	1.13532425
70	1.129261988
71	1.122842223
72	1.116697009
73	1.110372416
74	1.103677562
75	1.099719189
76	1.092302588
77	1.086797031
78	1.082948803
79	1.079459503
80	1.073517136
81	1.068609594
82	1.063415232
83	1.057592359
84	1.053153236
85	1.045494254
86	1.039282954
87	1.035334404
88	1.030379041
89	1.02777501
90	1.024525399
91	1.019359135
92	1.014345286
93	1.007254565
94	1.000577983
95	0.9947307237
96	0.9877153666
97	0.9824564928
98	0.9764538211
99	0.9701599327
100	0.9640114863
101	0.9600766051
102	0.9545543192
103	0.9494446067
104	0.9427552006
105	0.9396635289
106	0.9351791158
107	0.9300957898
108	0.9250783915
109	0.9194802534
110	0.9146671418
111	0.9111452927
112	0.9074339609
113	0.9024661343
114	0.8983121944
115	0.896345957
116	0.8904153183
117	0.885312957
118	0.8806489354
119	0.8760649508
120	0.8718043613
121	0.8669758217
122	0.8656189159
123	0.8611819032
124	0.8575080258
125	0.8552654841
126	0.8528984216
127	0.8488382545
128	0.8435043087
129	0.8379635046
130	0.8328278113
131	0.8304067377
132	0.8255171674
133	0.8196046691
134	0.8177313293
135	0.8132837393
136	0.8099635268
137	0.8058827198
138	0.8019150077
139	0.7982992781
140	0.7952412122
141	0.7916984769
142	0.788467116
143	0.7836685363
144	0.7779985528
145	0.7760761492
146	0.7717394395
147	0.7693514968
148	0.7653575818
149	0.7627201294
150	0.7596162471
151	0.7545431789
152	0.7500875446
153	0.7443125507
154	0.7421779573
155	0.7387900991
156	0.7372667911
157	0.7339340813
158	0.7312655903
159	0.7290708466
160	0.72502479
161	0.7238738699
162	0.7194256343
163	0.7140654096
164	0.7130886674
165	0.7097598145
166	0.7065043072
167	0.7029951226
168	0.6972520156
169	0.6950211271
170	0.6939834319
171	0.6924253343
172	0.6904693859
173	0.6848491259
174	0.683109016
175	0.6794505363
176	0.6754193854
177	0.671618585
178	0.6707802459
179	0.6652217514
180	0.6623880253
181	0.6600189603
182	0.6584092503
183	0.6565514412
184	0.6521763214
185	0.6500357113
186	0.6450097899
187	0.6402205188
188	0.6378890904
189	0.6342503367
190	0.6322345301
191	0.6290415674
192	0.6252100446
193	0.6224195566
194	0.6179021714
195	0.6170555197
196	0.6138912088
197	0.6110252111
198	0.6106286872
199	0.6077021615
200	0.6057499605
201	0.6042540424
202	0.6034042845
203	0.602391431
204	0.6015321107
205	0.6004646126
206	0.5983311667
207	0.5953225716
208	0.5926695679
209	0.5897024615
210	0.5851665987
211	0.5818853745
212	0.5805686636
213	0.5761491769
214	0.5750589071
215	0.5718316777
216	0.5700663601
217	0.5687650615
218	0.5651849674
219	0.5626204039
220	0.5615368303
221	0.5596540081
222	0.558611276
223	0.5573794368
224	0.5565476614
225	0.5543031038
226	0.5531547629
227	0.5504025806
