iter	Passed	Remaining
0	0	513
1	0	373
2	0	322
3	1	297
4	1	361
5	2	426
6	2	396
7	3	452
8	4	450
9	4	439
10	4	430
11	4	409
12	5	391
13	5	376
14	5	362
15	5	350
16	5	339
17	6	330
18	6	322
19	6	312
20	6	305
21	6	299
22	6	293
23	7	288
24	7	283
25	7	279
26	7	275
27	7	271
28	7	267
29	8	263
30	8	260
31	8	260
32	8	257
33	8	254
34	9	250
35	9	247
36	9	244
37	9	245
38	10	253
39	10	251
40	10	248
41	10	248
42	11	246
43	11	243
44	11	241
45	11	239
46	11	236
47	11	237
48	12	236
49	12	234
50	12	232
51	12	233
52	12	231
53	13	229
54	13	229
55	13	234
56	14	234
57	14	235
58	14	234
59	14	232
60	14	230
61	15	228
62	15	226
63	15	224
64	15	222
65	15	221
66	15	219
67	16	219
68	16	223
69	16	223
70	17	224
71	17	224
72	17	223
73	17	221
74	17	221
75	18	221
76	18	221
77	18	220
78	18	219
79	18	217
80	19	216
81	19	215
82	19	214
83	19	214
84	21	235
85	22	236
86	22	234
87	22	232
88	22	231
89	22	229
90	22	227
91	22	226
92	23	225
93	23	224
94	23	223
95	23	221
96	23	220
97	23	218
98	23	217
99	24	216
100	24	214
101	24	213
102	24	212
103	24	210
104	24	209
105	24	208
106	24	207
107	24	206
108	25	205
109	25	204
110	25	203
111	25	202
112	25	202
113	25	201
114	25	199
115	26	198
116	26	197
117	26	196
118	26	198
119	27	199
120	27	200
121	27	199
122	27	198
123	27	197
124	28	196
125	28	196
126	28	195
127	28	194
128	28	193
129	28	192
130	28	191
131	29	191
132	29	190
133	29	189
134	29	188
135	29	187
136	29	186
137	29	185
138	29	185
139	30	184
140	30	184
141	30	183
142	30	182
143	30	181
144	30	180
145	30	180
146	30	179
147	31	178
148	31	178
149	31	177
150	31	177
151	31	176
152	31	176
153	31	175
154	32	174
155	32	174
156	32	173
157	32	172
158	32	172
159	32	171
160	32	170
161	32	170
162	33	169
163	33	168
164	33	168
165	33	167
166	33	167
167	33	166
168	33	166
169	33	165
170	34	166
171	34	165
172	34	165
173	34	164
174	34	164
175	34	163
176	35	163
177	35	162
178	35	161
179	35	161
180	35	161
181	35	160
182	35	159
183	35	159
184	36	158
185	36	158
186	36	157
187	36	157
188	36	156
189	36	156
190	36	155
191	36	155
192	37	154
193	37	154
194	37	154
195	37	154
196	37	153
197	37	153
198	37	152
199	38	152
200	38	152
201	38	151
202	38	151
203	38	150
204	38	150
205	38	150
206	39	149
207	39	149
208	39	149
209	39	148
210	39	148
211	39	147
212	39	147
213	39	146
214	40	146
215	40	145
216	40	145
217	40	145
218	40	144
219	40	144
220	40	143
221	40	143
222	41	142
223	41	142
224	41	142
225	41	141
226	41	141
227	41	140
228	41	140
229	41	140
230	41	139
231	42	139
232	42	138
233	42	138
234	42	138
235	42	137
236	42	137
237	42	136
238	42	136
239	42	136
240	43	136
241	43	135
242	43	135
243	43	134
244	43	134
245	43	134
246	43	133
247	43	133
248	44	132
249	44	132
250	44	132
251	44	132
252	44	132
253	44	131
254	44	131
255	45	130
