,BE103_avg,BE101-05_avg,BE110_avg,CS110_avg,EE100_avg,EE110_avg,MA101_avg,PH100_avg,PH110_avg,BE100_avg,BE102_avg,CS100_avg,CS120_avg,CY100_avg,CY110_avg,EC100_avg,EC110_avg,MA102_avg,CS201_avg,CS203_avg,CS205_avg,CS207_avg,CS231_avg,CS233_avg,HS210_avg,MA201_avg,SGPA_S1,SGPA_S2
0,70.0,62.5,93.0,50,70.0,53,75.0,80.0,77,80.0,68.0,42.5,60,65.0,50,52.5,60,97.5,82.5,47.5,70.0,62.5,57,60,57.5,87.5,0.0,7.58
1,67.5,82.5,89.0,60,70.0,50,75.0,82.5,90,75.0,70.0,80.0,67,62.5,70,52.5,77,72.5,75.0,47.5,77.5,65.0,57,83,62.5,87.5,7.2,7.17
2,57.5,80.0,89.0,80,75.0,80,92.5,97.5,100,82.5,74.0,65.0,67,90.0,57,70.0,67,90.0,72.5,67.5,65.0,47.5,57,87,62.5,72.5,7.74,0.0
3,72.5,47.5,71.0,47,67.5,50,60.0,70.0,77,37.5,70.0,32.5,43,52.5,53,35.0,47,55.0,60.0,40.0,62.5,37.5,40,63,52.5,55.0,0.0,0.0
4,57.5,65.0,85.5,73,47.5,57,97.5,85.0,80,47.5,54.0,90.0,93,67.5,53,45.0,63,100.0,65.0,40.0,65.0,35.0,100,50,60.0,37.5,7.04,7.56
5,77.5,57.5,86.5,57,70.0,70,67.5,82.5,60,35.0,84.0,45.0,50,57.5,53,57.5,47,55.0,42.5,32.5,55.0,35.0,40,33,45.0,57.5,0.0,0.0
6,70.0,45.0,57.5,23,60.0,50,60.0,50.0,87,60.0,80.0,32.5,30,55.0,50,30.0,37,65.0,37.5,35.0,32.5,47.5,47,60,57.5,47.5,0.0,0.0
7,70.0,75.0,92.5,73,90.0,60,82.5,90.0,73,65.0,62.0,75.0,40,90.0,40,72.5,57,82.5,62.5,70.0,75.0,65.0,60,87,62.5,75.0,8.07,7.75
8,85.0,62.5,74.0,43,85.0,67,95.0,97.5,93,52.5,78.0,50.0,53,75.0,93,72.5,37,67.5,65.0,67.5,70.0,80.0,63,83,75.0,80.0,8.22,7.85
9,50.0,40.0,41.5,20,55.0,53,35.0,57.5,50,47.5,68.0,32.5,30,42.5,23,50.0,33,57.5,37.5,20.0,22.5,32.5,40,43,55.0,40.0,0.0,0.0
10,72.5,35.0,37.5,13,57.5,67,35.0,65.0,87,35.0,82.0,35.0,43,52.5,37,62.5,37,52.5,37.5,32.5,70.0,52.5,63,57,70.0,57.5,0.0,0.0
11,70.0,65.0,85.0,40,85.0,70,97.5,92.5,83,65.0,68.0,70.0,60,87.5,77,87.5,67,92.5,100.0,62.5,75.0,80.0,57,83,70.0,92.5,8.37,8.38
